Category,Number of Families,Total Variants,Category (grouped)
Vanity,507,3225,Vanities
Tapware,393,1912,Tapware
Shower,118,502,Showers
Basin,115,290,Basins
Outlet,112,635,Tapware
Towel Rail,73,467,Accessories
Bath,33,104,Baths
Grab Rail,32,192,Other
Heated Towel Rail,32,189,Accessories
Flush Button,27,98,Toilets
Toilet Roll Holder,26,117,Accessories
Mirror,24,70,Mirrors
Shaving Cabinet,24,64,Mirrors
Shower Base,22,78,Other
Mirror Cabinet,22,58,Mirrors
Waste,22,109,Other
Robe Hook,21,91,Accessories
Unknown,18,71,Other
Shelf,15,65,Accessories
Toilet,13,36,Toilets
Extraction Fan,12,24,Other
Soap Dish,6,21,Accessories
Back Rest,3,16,Other
Soap Dispenser,3,6,Accessories
Toilet Brush,1,2,Accessories
Shower Wall,1,4,Showers
,,,
TOTAL,1675,8446,